feature,importance_rf
FCFP6_1024_652_1.0,0.05381878447653228
FCFP6_1024_907_1.0,0.04356835790626062
FCFP6_1024_867_1.0,0.04307157725932311
FCFP6_1024_602_1.0,0.026956643516818004
FCFP6_1024_238_1.0,0.024759893106546645
FCFP6_1024_123_1.0,0.0163334309159174
FCFP6_1024_702_1.0,0.014493340178210473
FCFP6_1024_708_1.0,0.011401097584163017
FCFP6_1024_728_1.0,0.011209278509738567
FCFP6_1024_634_1.0,0.010908873833583662
FCFP6_1024_994_1.0,0.010874904045921882
FCFP6_1024_651_1.0,0.010150429122718406
FCFP6_1024_346_1.0,0.010020077793400523
FCFP6_1024_77_1.0,0.009412783668228451
FCFP6_1024_439_1.0,0.009269188079225265
FCFP6_1024_911_1.0,0.009149511954222844
FCFP6_1024_523_1.0,0.009112761991749154
FCFP6_1024_344_1.0,0.00909315794384032
FCFP6_1024_936_1.0,0.008374795319701782
FCFP6_1024_491_1.0,0.007960575582174135
FCFP6_1024_105_1.0,0.007581992466431249
FCFP6_1024_662_1.0,0.006867571437189654
FCFP6_1024_605_1.0,0.006653980597260472
FCFP6_1024_614_1.0,0.006590003133404014
FCFP6_1024_526_1.0,0.0060810642536641875
FCFP6_1024_264_1.0,0.005820502361969233
FCFP6_1024_49_1.0,0.00575262437278075
FCFP6_1024_489_1.0,0.005688706165879446
FCFP6_1024_713_1.0,0.005592331008364831
FCFP6_1024_922_1.0,0.00546569839562286
FCFP6_1024_151_1.0,0.005460021076178433
FCFP6_1024_968_1.0,0.005157723001383808
FCFP6_1024_357_1.0,0.005046007753243934
FCFP6_1024_642_1.0,0.004860488345761515
FCFP6_1024_471_1.0,0.004841062089866051
FCFP6_1024_727_1.0,0.004603538283191294
FCFP6_1024_317_1.0,0.004493651190817922
FCFP6_1024_364_1.0,0.004442283720591617
FCFP6_1024_412_1.0,0.004441008677688898
FCFP6_1024_405_1.0,0.004376117308249299
FCFP6_1024_362_1.0,0.00430858159316062
FCFP6_1024_556_1.0,0.004282686988903234
FCFP6_1024_737_1.0,0.0041941895990006105
FCFP6_1024_128_1.0,0.004137629320782075
FCFP6_1024_668_1.0,0.004095828101426142
FCFP6_1024_350_1.0,0.00400343636000174
FCFP6_1024_669_1.0,0.003987456587406325
FCFP6_1024_834_1.0,0.003982686727713628
FCFP6_1024_939_1.0,0.003928865564587188
FCFP6_1024_263_1.0,0.0038650287918168057
FCFP6_1024_858_1.0,0.003859370548024677
FCFP6_1024_807_1.0,0.0037389093584641086
FCFP6_1024_467_1.0,0.003713374849887074
FCFP6_1024_193_1.0,0.0035538461282683966
FCFP6_1024_428_1.0,0.0035168535305138
FCFP6_1024_814_1.0,0.0034443200526004087
FCFP6_1024_846_1.0,0.0034293565856422575
FCFP6_1024_17_1.0,0.0034015765006529274
FCFP6_1024_941_1.0,0.0033265832714637973
FCFP6_1024_29_1.0,0.0032771559038426534
FCFP6_1024_520_1.0,0.0032769282024638162
FCFP6_1024_1003_1.0,0.0032731257365286354
FCFP6_1024_970_1.0,0.0032665162303873478
FCFP6_1024_540_1.0,0.003237332524759154
FCFP6_1024_985_1.0,0.003201831209620813
FCFP6_1024_544_1.0,0.003199392858551271
FCFP6_1024_452_1.0,0.0031816295800915647
FCFP6_1024_137_1.0,0.0031314260804400974
FCFP6_1024_163_1.0,0.0031246183945939578
FCFP6_1024_53_1.0,0.0030292287560804714
FCFP6_1024_407_1.0,0.0030222567348416256
FCFP6_1024_942_1.0,0.002996706814954691
FCFP6_1024_32_1.0,0.0029933009485273343
FCFP6_1024_287_1.0,0.0029391968255475516
FCFP6_1024_498_1.0,0.0029289292602716678
FCFP6_1024_824_1.0,0.002864563176680143
FCFP6_1024_1002_1.0,0.0028616164227536945
FCFP6_1024_353_1.0,0.002858578040127665
FCFP6_1024_78_1.0,0.0027885306650452368
FCFP6_1024_775_1.0,0.0027730239808977054
FCFP6_1024_679_1.0,0.0026833028929141712
FCFP6_1024_463_1.0,0.0026802834646965806
FCFP6_1024_890_1.0,0.002658315121537107
FCFP6_1024_588_1.0,0.0026378120106531886
FCFP6_1024_395_1.0,0.0026106740262061084
FCFP6_1024_213_1.0,0.0026089822058564197
FCFP6_1024_818_1.0,0.0025976155493487385
FCFP6_1024_607_1.0,0.0025911833586969146
FCFP6_1024_966_1.0,0.002560737001288336
FCFP6_1024_380_1.0,0.0025309397317752184
FCFP6_1024_798_1.0,0.0025290224001019075
FCFP6_1024_356_1.0,0.0025169076740664265
FCFP6_1024_887_1.0,0.0025086190989139128
FCFP6_1024_375_1.0,0.0024979050811216406
FCFP6_1024_648_1.0,0.0024867543482647177
FCFP6_1024_460_1.0,0.0024685830958941974
FCFP6_1024_427_1.0,0.0024617292381501617
FCFP6_1024_694_1.0,0.002452817629451659
